Id,y
45324,4
45325,3
45326,3
45327,3
45328,1
45329,0
45330,2
45331,4
45332,0
45333,1
45334,1
45335,1
45336,4
45337,3
45338,3
45339,1
45340,2
45341,0
45342,0
45343,1
45344,0
45345,4
45346,0
45347,2
45348,4
45349,0
45350,4
45351,2
45352,1
45353,4
45354,1
45355,2
45356,2
45357,3
45358,4
45359,2
45360,0
45361,0
45362,3
45363,4
45364,2
45365,1
45366,1
45367,3
45368,4
45369,2
45370,0
45371,0
45372,2
45373,4
45374,1
45375,2
45376,1
45377,1
45378,0
45379,4
45380,2
45381,0
45382,3
45383,4
45384,2
45385,0
45386,1
45387,0
45388,3
45389,0
45390,2
45391,0
45392,1
45393,0
45394,0
45395,0
45396,1
45397,3
45398,4
45399,3
45400,3
45401,3
45402,2
45403,3
45404,1
45405,1
45406,1
45407,2
45408,0
45409,1
45410,2
45411,1
45412,3
45413,2
45414,1
45415,0
45416,0
45417,4
45418,3
45419,3
45420,3
45421,2
45422,1
45423,1
45424,2
45425,2
45426,3
45427,0
45428,0
45429,0
45430,0
45431,1
45432,4
45433,4
45434,2
45435,2
45436,4
45437,3
45438,2
45439,3
45440,3
45441,2
45442,0
45443,1
45444,0
45445,1
45446,1
45447,2
45448,3
45449,3
45450,1
45451,1
45452,0
45453,2
45454,4
45455,4
45456,0
45457,2
45458,1
45459,2
45460,2
45461,2
45462,2
45463,1
45464,0
45465,3
45466,2
45467,0
45468,3
45469,1
45470,2
45471,1
45472,0
45473,0
45474,1
45475,3
45476,0
45477,2
45478,1
45479,4
45480,1
45481,0
45482,0
45483,0
45484,3
45485,3
45486,0
45487,0
45488,2
45489,2
45490,2
45491,4
45492,0
45493,0
45494,1
45495,3
45496,4
45497,4
45498,4
45499,4
45500,4
45501,1
45502,4
45503,4
45504,2
45505,0
45506,3
45507,0
45508,1
45509,2
45510,4
45511,1
45512,3
45513,2
45514,2
45515,3
45516,2
45517,3
45518,0
45519,1
45520,4
45521,1
45522,4
45523,3
45524,1
45525,3
45526,2
45527,3
45528,3
45529,2
45530,1
45531,1
45532,2
45533,1
45534,2
45535,1
45536,3
45537,3
45538,1
45539,0
45540,0
45541,3
45542,2
45543,0
45544,3
45545,2
