Id,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
0,2,29.2199209366,32.0694014772,5.2991407707,4.7732770275,3.94515924395,5.95966112936,6.46684448452,5.64393767639,15.1054809585,26.5660462542,33.9504131073,25.5252785752,19.159314469,27.1368905033,17.2585349717
1,1,27.2226630488,18.3109461251,4.5113914942,4.88053882663,4.38673155242,6.64807342559,6.62011972493,5.41896522914,12.6166326182,36.1709249737,35.9563206927,34.2045980704,38.4756444974,35.2271322033,26.5242952605
2,2,31.9629282212,28.6348581622,5.51074048083,5.53167923,4.65636781763,6.80306509338,6.24618566422,7.19377807074,35.0018913945,34.486266853,31.1451708723,36.2894124631,17.8040355531,17.0510126867,23.8324732285
3,2,30.3477576944,21.9353149487,4.89927728532,4.02051735106,5.09021103076,6.52087175724,5.54196594889,7.42071326522,38.3184338282,29.3046131768,22.843722099,32.5294862727,24.0672753435,18.7943226327,25.6476357013
4,0,27.0036962862,19.9458026245,3.40138852554,4.72201891266,3.99791887344,6.01271101578,6.29951586885,6.02087600226,19.5023962981,10.2053907909,31.8142357022,26.1604115577,22.0991750242,27.7557194266,20.6930903232
5,1,27.2057484312,15.9285670199,3.00444987068,3.38078676103,4.55945285915,6.43963511039,6.25905413913,6.57610502771,26.496605799,40.7158742639,31.3060942369,31.4766181533,44.7765518428,24.2648851848,30.5451874918
6,0,29.5381338428,10.6759097258,2.85459620125,3.35982231685,5.09129340468,6.54443757653,5.75642679023,7.12072040349,33.9561075282,4.68218267641,25.2667849116,32.8373809915,21.9875677666,24.4444664264,33.1780539375
7,1,32.7716273334,3.42015165874,4.11791904352,3.46030548952,4.18127399108,7.27508463864,5.52303285219,7.10393147361,33.7172908452,32.0371454642,22.6342274067,42.9345742977,43.0988964108,32.3988569115,18.8969251436
8,0,23.6361699566,35.4184518045,4.59480940965,5.09578589886,3.890194296,5.9445639921,6.03438051951,7.69602246448,42.4802102373,29.3120596835,28.5440837745,25.3455588546,12.4779641342,4.65940560724,25.2298278725
9,0,29.3988829178,28.7399586334,4.65106438366,5.239102628,4.35032356515,5.9617113391,5.31771864608,7.84947566654,44.8657167031,26.9272097222,20.4084671193,25.5497198891,17.6003312962,9.2585330314,24.6478241347
10,1,19.6848575159,39.7521506574,4.43253439557,5.40678905824,4.85516427419,4.94664942537,6.16126258465,6.49305525848,25.4112150531,26.034249067,30.0914921574,14.4770583359,15.5301367108,12.5669528518,21.1946494434
11,2,34.4732978508,28.6113111775,6.04476309092,4.7138318797,4.26599563793,5.91795123996,5.08619592644,6.63851677674,27.3213534585,25.8029952893,17.9997245224,25.0298646769,18.8462157384,26.7430701275,22.0456701597
12,2,20.569762233,25.8297723323,4.84486307832,3.77327163605,5.40173524731,5.25769679026,5.23891148823,6.00653011508,19.3298524869,29.5276758079,19.5765291018,17.6510933367,32.8314821426,29.3289770396,28.1352307008
